2, 1.36550092918e-06
5, 2.55997662611e-07
10, 6.81810994284e-08
50, 2.79653333155e-09
100, 7.04089714348e-10
150, 2.15242486296e-10
200, 1.20812535782e-10
250, 4.57760168159e-11
300, 2.5658543492e-11
350, 1.85765046237e-11
400, 1.61394971683e-11
450, 7.45555537136e-12
500, 5.15857798036e-12
550, 2.97240511513e-12
600, 1.86150411244e-12
650, 9.17199902729e-13
700, 3.44687869756e-13
750, 1.34825487724e-13
800, 1.14258363643e-13
810, 1.16565491707e-13
820, 1.33101821855e-13
830, 1.29743616686e-13
840, 1.30256678614e-13
850, 1.30165532684e-13
860, 9.32751594239e-14
870, 1.03457028401e-13
880, 3.98107170554e-14
880, 3.98107170554e-14
870, 2.2147769755e-14
860, 1.51161084818e-14
850, 1.20531899278e-14
840, 9.2497501088e-15
830, 7.95803784257e-15
820, 6.54135923277e-15
810, 5.64741886186e-15
800, 4.66753947913e-15
750, 2.71021659379e-15
700, 2.32447029182e-15
650, 2.13581680845e-15
600, 1.18977818029e-15
550, 8.24878530186e-16
500, 6.18118867177e-16
450, 4.33379136579e-16
400, 3.28158758506e-16
350, 2.9437301773e-16
300, 2.73151758018e-16
250, 2.87362438276e-16
200, 4.35608153428e-16
150, 5.74613731392e-16
100, 4.38682187072e-16
50, 3.86027282906e-16
10, 1.71329441826e-15
5, 3.09177584598e-15
2, 7.96687494216e-15
