0.002 0.00012589254 5000 2801 2529 1018.2475 546.61877 488.11448 228.85857 116.33976 102.60761 0
0.002 0.00015848932 5000 2777 2517 1109.8839 582.76469 524.15117 265.82692 130.17084 116.04859 0
0.002 0.00019952623 5000 2790 2530 1043.2173 543.04523 492.10313 248.23042 119.40139 108.09816 0
0.002 0.0001 5000 2792 2509 833.34309 451.10875 399.36039 160.16645 83.416135 72.631335 0
0.002 0.00025118864 5000 2790 2516 856.08564 433.94587 394.19566 199.17602 91.925379 83.834099 0
0.002 0.00031622777 5000 2774 2488 591.50144 298.80004 270.93229 127.6786 58.965037 53.408336 0
0.002 0.0031622777 5000 2715 2462 2.3756065e-27 1.2551171e-31 1.1972015e-31 1.8930145e-54 8.5254524e-63 8.491911e-63 2422
0.002 0.031622777 5000 2754 2494 0 0 0 0 0 0 2494
0.002 1.2589254e-05 5000 2735 2457 21.497868 11.678701 10.216807 0.12301253 0.066841198 0.057152607 0
0.002 1.2589254e-06 5000 2791 2485 0.21563706 0.11902806 0.10288299 1.2318964e-05 6.7621446e-06 5.6918451e-06 0
0.002 1.2589254e-07 5000 2766 2502 0.0021339898 0.0011728201 0.0010335645 1.2173786e-09 6.6893466e-10 5.7663345e-10 0
0.002 1.2589254e-08 5000 2817 2553 2.1331927e-05 1.1869949e-05 1.0483988e-05 1.211017e-13 6.6678371e-14 5.7619784e-14 0
0.002 1.2589254e-09 5000 2783 2509 2.1655703e-07 1.1877667e-07 1.0446555e-07 1.2371261e-17 6.7064813e-18 5.7731173e-18 0
0.002 1.5848932e-05 5000 2759 2456 33.517132 18.63564 16.278496 0.29722385 0.16636432 0.14289744 0
0.002 1.5848932e-06 5000 2723 2467 0.34434708 0.18709348 0.16641395 3.1372456e-05 1.7041937e-05 1.4906243e-05 0
0.002 1.5848932e-07 5000 2761 2498 0.0034169049 0.001886673 0.0016723368 3.1070635e-09 1.7197409e-09 1.4977223e-09 0
0.002 1.5848932e-08 5000 2749 2469 3.3845051e-05 1.8479872e-05 1.6179492e-05 3.0644692e-13 1.6773409e-13 1.4364129e-13 0
0.002 1.5848932e-09 5000 2828 2562 3.4222519e-07 1.9173908e-07 1.6965299e-07 3.1187541e-17 1.7348825e-17 1.5031849e-17 0
0.002 1.9952623e-05 5000 2777 2476 52.784471 28.954104 25.21111 0.73175942 0.3990246 0.34170646 0
0.002 1.9952623e-06 5000 2734 2428 0.53613416 0.29211637 0.25242525 7.6518841e-05 4.1749943e-05 3.5327945e-05 0
0.002 1.9952623e-07 5000 2791 2531 0.0053701625 0.0029274183 0.0025991247 7.7025396e-09 4.1489966e-09 3.619446e-09 0
0.002 1.9952623e-08 5000 2763 2472 5.3368645e-05 2.950386e-05 2.5739678e-05 7.5908222e-13 4.2207333e-13 3.6051676e-13 0
