1 1.25892541179e-06 5000 5000 4956 1702 1531
1 1.25892541179e-07 5000 5000 4953 1644 1487
1 1.58489319246e-07 5000 5000 4952 1686 1513
1 1.99526231497e-07 5000 5000 4955 1652 1476
1 1.99526231497e-08 5000 5000 4950 1603 1439
1 1e-06 5000 5000 4956 1662 1516
1 1e-07 5000 5000 4944 1678 1519
1 1e-05 5000 5000 4968 1631 1484
1 1e-06 4000 4000 3964 1261 1113
1 1e-07 4000 4000 3956 1288 1164
1 1e-08 5000 5000 4946 1634 1474
1 2.51188643151e-07 5000 5000 4953 1682 1534
1 2.51188643151e-08 5000 5000 4957 1659 1480
1 3.16227766017e-07 4000 4000 3969 1338 1206
1 3.16227766017e-08 4000 4000 3967 1342 1207
1 3.98107170553e-07 4000 4000 3965 1329 1179
1 3.98107170553e-08 5000 5000 4951 1665 1490
1 5.01187233627e-07 5000 5000 4951 1672 1522
1 5.01187233627e-08 4000 4000 3965 1327 1216
1 5e-06 5000 5000 4958 1653 1493
1 5e-07 5000 5000 4944 1673 1494
1 5e-08 4000 4000 3968 1328 1181
1 5e-09 4000 4000 3954 1301 1133
1 6.3095734448e-07 5000 5000 4946 1592 1449
1 6.3095734448e-08 5000 5000 4951 1617 1489
1 7.94328234724e-07 5000 5000 4947 1607 1444
1 7.94328234724e-08 5000 5000 4950 1670 1480
1.1 1.25892541179e-07 5000 5000 4961 1647 1471
1.1 1.58489319246e-07 5000 5000 4953 1569 1387
1.1 1.99526231497e-07 5000 5000 4953 1624 1471
1.1 1e-07 4000 4000 3962 1331 1191
1.1 1e-06 4500 4500 4466 1464 1297
1.1 2.51188643151e-07 5000 5000 4964 1715 1527
1.1 2.5e-08 5000 5000 4955 1619 1453
1.1 2e-06 4500 4500 4467 1429 1289
1.1 2e-08 5000 5000 4955 1656 1511
1.1 3.16227766017e-07 5000 5000 4966 1632 1452
1.1 3.16227766017e-08 5000 5000 4967 1623 1426
1.1 3.98107170553e-08 5000 5000 4958 1634 1458
1.1 3e-07 5000 5000 4962 1651 1487
1.1 3e-08 3500 3500 3474 1139 1026
1.1 5.01187233627e-08 5000 5000 4962 1637 1481
1.1 5e-07 4000 4000 3967 1288 1161
1.1 6.3095734448e-08 5000 5000 4949 1603 1433
1.1 7.94328234724e-08 4685 4685 4656 1581 1420
1.1 8e-07 5000 5000 4958 1673 1497
1.2 1.25892541179e-07 5000 5000 4972 1638 1468
1.2 1.58489319246e-07 4000 4000 3965 1308 1174
1.2 1.99526231497e-07 5000 5000 4970 1631 1432
1.2 1e-07 5000 5000 4971 1563 1408
1.2 1e-06 4500 4500 4470 1467 1307
1.2 2.51188643151e-07 5000 5000 4965 1566 1406
1.2 2.5e-08 5000 5000 4960 1608 1437
1.2 2e-06 4500 4500 4471 1428 1277
1.2 2e-08 4500 4500 4460 1511 1331
1.2 3.16227766017e-07 5000 5000 4956 1556 1386
1.2 3.16227766017e-08 5000 5000 4973 1614 1430
1.2 3.98107170553e-08 5000 5000 4963 1599 1422
1.2 3e-07 5000 5000 4975 1587 1414
1.2 3e-08 5000 5000 4966 1596 1410
1.2 5.01187233627e-08 5000 5000 4954 1605 1430
1.2 5e-07 5000 5000 4956 1617 1427
1.2 6.3095734448e-08 4000 4000 3970 1280 1154
1.2 7.94328234724e-08 3619 3619 3597 1143 1003
1.2 8e-07 5000 5000 4968 1625 1449
1.3 1.25892541179e-07 5000 5000 4973 1555 1367
1.3 1.58489319246e-07 5000 5000 4968 1581 1390
1.3 1e-07 5000 5000 4972 1600 1427
1.3 1e-06 5000 5000 4971 1541 1371
1.3 2.51188643151e-07 5000 5000 4969 1593 1408
1.3 2.5e-08 4500 4500 4458 1428 1267
1.3 2e-06 5000 5000 4975 1610 1407
1.3 2e-08 4500 4500 4470 1497 1305
1.3 3.16227766017e-07 5000 5000 4964 1554 1363
1.3 3.16227766017e-08 5000 5000 4970 1566 1392
1.3 3.98107170553e-08 5000 5000 4969 1607 1402
1.3 3e-07 5000 5000 4970 1586 1417
1.3 3e-08 5000 5000 4976 1594 1397
1.3 5.01187233627e-08 5000 5000 4963 1595 1412
1.3 5e-07 5000 5000 4968 1560 1378
1.3 6.3095734448e-08 5000 5000 4974 1598 1399
1.3 7.94328234724e-08 5000 5000 4960 1537 1337
1.3 8e-07 3500 3500 3485 1160 1028
1.4 1.25892541179e-07 5000 5000 4975 1561 1372
1.4 1.58489319246e-07 5000 5000 4975 1550 1335
1.4 1.99526231497e-07 4639 4639 4615 1449 1252
1.4 1e-07 5000 5000 4974 1563 1356
1.4 1e-06 5000 5000 4975 1591 1397
1.4 2.51188643151e-07 5000 5000 4978 1604 1396
1.4 2.5e-08 5000 5000 4979 1603 1400
1.4 2e-06 5000 5000 4981 1607 1405
1.4 2e-08 5000 5000 4974 1506 1304
1.4 3.16227766017e-07 5000 5000 4964 1578 1365
1.4 3.16227766017e-08 4706 4706 4687 1453 1275
1.4 3.98107170553e-08 5000 5000 4972 1573 1351
1.4 3e-07 5000 5000 4984 1559 1381
1.4 3e-08 5000 5000 4980 1552 1361
1.4 5.01187233627e-08 5000 5000 4976 1562 1363
1.4 5e-07 4500 4500 4473 1432 1263
1.4 6.3095734448e-08 5000 5000 4982 1539 1334
1.4 7.94328234724e-08 4000 4000 3987 1266 1086
1.4 8e-07 5000 5000 4972 1501 1315
1.5 1.25892541179e-07 5000 5000 4982 1549 1331
1.5 1.58489319246e-07 5000 5000 4984 1582 1382
1.5 1.99526231497e-07 5000 5000 4981 1538 1335
1.5 1e-07 5000 5000 4981 1607 1377
