1.6 1e-07 5000 4973 1663 1434
1.6 1e-06 4000 3973 1306 1160
1.6 2.51188643151e-07 5000 4974 1573 1376
1.6 2.5e-08 5000 4973 1601 1378
1.6 2e-08 5000 4968 1634 1435
1.6 3.16227766017e-07 4000 3977 1265 1110
1.6 3.16227766017e-08 5000 4964 1657 1422
1.6 3.98107170553e-08 5000 4967 1670 1463
1.6 3e-07 5000 4973 1671 1457
1.6 3e-08 5000 4978 1680 1467
1.6 5.01187233627e-08 5000 4975 1657 1489
1.6 5e-07 5000 4975 1619 1405
1.6 6.3095734448e-08 5000 4971 1676 1445
1.6 7.94328234724e-08 5000 4962 1598 1395
1.7 1.25892541179e-07 4000 3980 1310 1139
1.7 1.58489319246e-07 5000 4983 1641 1424
1.7 1.99526231497e-07 5000 4972 1647 1423
1.7 1e-07 4000 3983 1297 1130
1.7 1e-06 4500 4469 1424 1237
1.7 2.51188643151e-07 5000 4970 1613 1384
1.7 2.5e-08 4500 4474 1442 1232
1.7 2e-08 4500 4475 1495 1277
1.7 3.16227766017e-07 5000 4980 1613 1393
1.7 3.16227766017e-08 4000 3976 1299 1127
1.7 3.98107170553e-08 5000 4972 1646 1422
1.7 3e-07 4500 4483 1430 1220
1.7 3e-08 5000 4976 1618 1388
1.7 5.01187233627e-08 5000 4974 1571 1347
1.7 5e-07 4500 4477 1488 1287
1.7 6.3095734448e-08 5000 4968 1663 1415
1.7 7.94328234724e-08 5000 4978 1660 1422
1.7 8e-07 5000 4974 1632 1416
1.8 1.25892541179e-07 5000 4975 1621 1386
1.8 1.58489319246e-07 5000 4974 1659 1432
1.8 1.99526231497e-07 5000 4986 1608 1352
1.8 1e-07 5000 4980 1502 1291
1.8 2.51188643151e-07 5000 4969 1652 1410
1.8 2.5e-08 4500 4478 1500 1254
1.8 2e-08 5000 4980 1634 1391
1.8 3.98107170553e-07 5000 4975 1586 1362
1.8 3.98107170553e-08 4584 4564 1458 1228
1.8 3e-07 5000 4968 1613 1362
1.8 3e-08 5000 4984 1731 1471
1.8 5.01187233627e-08 5000 4967 1569 1334
1.8 5e-07 5000 4977 1618 1374
1.8 6.3095734448e-08 5000 4974 1680 1428
1.8 7.94328234724e-08 4590 4566 1482 1295
1.8 8e-07 5000 4983 1639 1400
1.9 1.25892541179e-07 5000 4972 1695 1439
1.9 1.58489319246e-07 4000 3983 1335 1154
1.9 1.99526231497e-07 5000 4967 1667 1389
1.9 1e-07 5000 4981 1669 1397
1.9 1e-06 5000 4969 1696 1426
1.9 2.51188643151e-07 5000 4973 1649 1384
1.9 2.5e-08 5000 4986 1606 1327
1.9 2e-08 5000 4973 1692 1415
1.9 3.16227766017e-07 5000 4970 1683 1420
1.9 3.98107170553e-07 4000 3983 1370 1165
1.9 3.98107170553e-08 5000 4978 1709 1440
1.9 3e-07 4500 4483 1508 1282
1.9 3e-08 5000 4968 1659 1356
1.9 5.01187233627e-08 4000 3981 1384 1175
1.9 5e-07 5000 4976 1750 1464
