2,4.182327138502000E-03
5,4.051902626088000E-04
10,2.566923937808000E-04
50,5.248703015312000E-05
100,2.382538899196000E-05
150,1.625631103052000E-05
200,1.078057685451000E-05
250,6.627107264245000E-06
300,5.352442370956000E-06
350,4.564182484563000E-06
400,3.436323166604000E-06
450,3.077435788285000E-06
500,2.214756576739000E-06
550,2.206678176670000E-06
600,1.983914721101000E-06
650,1.063283317452000E-06
700,8.079174714927000E-07
750,5.726021837888000E-07
800,5.480169609904000E-07
810,5.473359823713000E-07
820,5.780561153250000E-07
830,5.620073560020000E-07
840,5.899633051445000E-07
850,5.822573775326000E-07
860,5.610634785751000E-07
870,5.747592904964000E-07
880,5.419285110510000E-07
890,5.099011600386000E-07
900,4.571008196028000E-07
900,1.076918902663000E-07
890,8.703641614591000E-08
880,7.353583022484000E-08
870,6.475942738723000E-08
860,5.461852907135000E-08
850,4.963728283257000E-08
840,4.475391163114000E-08
830,4.056486173246000E-08
820,3.637642372191000E-08
810,3.290409875878000E-08
800,2.917662140314000E-08
750,2.286551566120000E-08
700,2.467987751587000E-08
650,2.855558094279000E-08
600,1.140352187523000E-08
550,1.206813056065000E-08
500,2.886768781215000E-08
450,1.855478814405000E-08
400,1.530023143110000E-08
350,1.405409872582000E-08
300,1.342208546948000E-08
250,1.358660658141000E-08
200,2.009791476242000E-08
150,2.242389235790000E-08
100,2.100912669126000E-08
50,1.912057727275000E-08
10,3.941068650318000E-08
5,5.420096264942000E-08
2,6.418048578995000E-08
