2	2.114842356695e-06	0.0001281097870587
2	1.657425437744e-13	7.097295470881e-06
5	3.228791490704e-07	8.240596061926e-05
5	6.429600661477e-14	2.115646006828e-06
10	1.543938510635e-07	2.611999305824e-05
10	3.255067508113e-14	8.305417166898e-06
50	4.403682506697e-09	6.444940941552e-05
50	6.48643394826e-15	9.669880781882e-06
100	1.02826724082e-09	7.207335936332e-05
100	3.280001180364e-15	2.597806532112e-06
150	4.433390639604e-10	6.767884902814e-05
150	2.175454478055e-15	4.418043832111e-06
200	2.528273193514e-10	7.032589408595e-06
200	1.662792281916e-15	9.877780338119e-06
250	8.908282890682e-11	1.774230442342e-05
250	7.262731687607e-16	5.888657131248e-06
300	5.544188657296e-11	5.563313362433e-05
300	5.823472111714e-16	4.590955796413e-06
350	3.886547680177e-11	2.69212436339e-05
350	4.899480121966e-16	2.10705603898e-06
400	2.549036181672e-11	3.019743351729e-05
400	4.001492433363e-16	5.881855318357e-07
450	1.904486945099e-11	1.141718676845e-05
450	3.446243817516e-16	8.944349370932e-06
400	5.062208165244e-16	1.671408462744e-06
500	1.421392436013e-11	3.397961502927e-05
500	2.951589794183e-16	1.062818730801e-06
550	1.040380012367e-11	5.421874941414e-05
550	2.514988479455e-16	8.864166137545e-06
600	7.093131314867e-12	6.483823018666e-05
600	1.923747196777e-16	4.461676195167e-06
650	4.419732653726e-12	5.900831215699e-05
650	1.324176877341e-16	1.773763901536e-06
700	2.527772588562e-12	7.353173712366e-05
700	8.227729403013e-17	1.977815708099e-06
750	1.327431135501e-12	1.198844731265e-05
750	4.897021378681e-17	8.03603231958e-07
800	1.387873872484e-12	6.517029984154e-05
800	5.760338433497e-17	2.826823044533e-06
810	1.612471324245e-12	5.496017319562e-05
810	6.386927700386e-17	1.031773396942e-05
820	1.704488203931e-12	1.212080134039e-07
820	7.047449945843e-17	5.436764802358e-06
830	1.774124118538e-12	5.342413703602e-05
830	7.545013132064e-17	6.476999914184e-07
840	1.946175495465e-12	2.128649038546e-05
840	8.196227415715e-17	6.251225040721e-06
850	2.096669608095e-12	6.500013089905e-05
850	9.868882994334e-17	8.89081126898e-06
860	2.053430460312e-12	1.442189388134e-05
860	1.013313899837e-16	6.335836152171e-06
870	2.349362324944e-12	4.115993623044e-05
870	1.216387644127e-16	7.748614105019e-06
880	2.395642449799e-12	1.86780544249e-05
880	1.295382423505e-16	1.373626002277e-06
890	2.452595911757e-12	5.152175084655e-05
890	1.509336240619e-16	6.509290420897e-06
900	2.475061530231e-12	1.594003064076e-05
900	1.575099523064e-16	5.244168432839e-07
950	2.559210447465e-12	4.101858268157e-05
950	2.313374797735e-16	5.176964788856e-06
1000	2.176857497621e-12	4.782965442063e-05
1000	2.606237563817e-16	7.173988995302e-06
1100	1.796478400735e-12	3.951544961334e-05
1100	4.117370987514e-16	9.392899335214e-06
1200	1.362931408861e-12	1.661020398291e-05
1200	5.530189330733e-16	2.569466428071e-06
1300	9.562115825894e-13	1.043351767294e-05
1300	6.416437967895e-16	2.292157298189e-06
1400	6.684177897505e-13	1.79375028786e-06
1400	7.363630705275e-16	8.572010498309e-06
1500	4.715090143152e-13	1.754391861786e-05
1500	8.089133445849e-16	5.981117466192e-06
1600	3.666654589763e-13	1.491030555956e-05
1600	9.675824889162e-16	6.464390852834e-06
1700	2.700610799312e-13	6.614167206376e-06
1700	1.170690246273e-15	2.73581822352e-06
1800	2.345168218314e-13	8.926865534331e-06
1800	1.53533800371e-15	1.828951340599e-06
1900	2.047632433756e-13	8.453595950364e-06
1900	2.123048912964e-15	1.848734690224e-06
2000	1.574939951918e-13	1.519718477683e-05
2000	2.540574881895e-15	5.110099651873e-06
2100	1.23569133131e-13	1.053718993038e-05
2100	3.08069000817e-15	4.025526587181e-06
2200	1.037332536519e-13	1.807542151555e-05
2200	3.84949712844e-15	6.008593353979e-06
2300	7.046833333399e-14	1.891937568832e-06
2300	5.215164358681e-15	3.741676204427e-07
2400	5.559324183545e-14	4.132675201163e-06
2400	6.717010079522e-15	7.757819915355e-07
2500	3.827013550891e-14	2.514938330922e-06
2500	9.941593468449e-15	4.063822350187e-06
