2,2.10478625989500E-06,,
5,3.38518182120000E-07,,
10,1.51831541041300E-06,,
50,4.55080262578900E-09,,
100,1.67680283664600E-09,,
150,6.53831740891500E-10,,
200,2.40826348065200E-10,,
250,7.63006082395900E-11,,
300,5.33027971590900E-11,,
350,3.74029623416900E-11,,
400,3.09687730920700E-11,,
450,2.70414515338700E-11,,
500,2.26514495840200E-11,,
550,1.71688023108900E-11,,
600,8.53953061784000E-12,,
650,7.94858824277200E-12,,
700,4.40702993003000E-12,,
750,2.19156320355500E-12,,
800,2.22161091254300E-12,,
810,2.32408495883500E-12,,
820,2.48007034854400E-12,,
830,3.46164079239800E-12,,
840,2.27445841066900E-12,,
850,4.07988573487800E-12,,
860,3.86929640634300E-12,,
870,4.13007558686700E-12,,
880,4.08801047545400E-12,,
890,4.25778767024200E-12,,
900,4.56869325264300E-12,,
950,4.32507855676900E-12,,
1000,2.53661175090800E-12,,
1100,2.48977441612900E-12,,
1200,1.91615219060100E-12,,
1300,1.42079035419100E-12,,
1400,9.79855421726100E-13,,
1500,6.33539941265700E-13,,
1600,4.70615254209200E-13,,
1700,3.59529060601000E-13,,
1800,3.35173751240000E-13,,
1900,3.07257151495000E-13,,
2000,2.71817866894400E-13,,
2100,2.35222033424600E-13,,
2200,1.85962767185500E-13,,
2300,9.75753235426600E-14,,
2400,7.92599875901400E-14,,
2500,6.75252187854600E-14,,
2600,5.19895430116900E-14,,
2700,2.01102745628100E-14,,
2700,9.06759261307200E-15,,
2600,6.76213754079800E-15,,
2500,4.84739041765300E-15,,
2400,3.92532843204200E-15,,
2300,3.32843438561500E-15,,
2200,2.91048925307500E-15,,
2100,2.59384487783600E-15,,
2000,1.83780741736400E-15,,
1900,1.61064563517800E-15,,
1800,8.55921626898800E-16,,
1700,7.16839618449100E-16,,
1600,5.57391061565500E-16,,
1500,2.24386125696200E-16,,
1400,1.40512189134200E-16,,
1300,8.79893278217000E-17,,
1200,7.55916804352400E-17,,
1100,7.95976049056300E-17,,
1000,7.00180481438800E-17,,
950,6.27390589150800E-17,,
900,4.97739377148200E-17,,
890,4.74512874263600E-17,,
880,4.21657665533900E-17,,
870,3.97315950104900E-17,,
860,3.71182933739000E-17,,
850,3.58070052554100E-17,,
830,3.12269810711600E-17,,
840,3.12154787451200E-17,,
820,2.86591958276400E-17,,
810,2.57710432624200E-17,,
800,2.06376384597100E-17,,
750,9.50385934011700E-18,,
700,3.71851895818800E-17,,
650,6.64878056773600E-17,,
600,8.54503803188300E-17,,
550,1.63012909913500E-16,,
500,2.17986701581800E-16,,
450,2.32145355917200E-16,,
400,2.25327397143000E-16,,
350,2.23080700727000E-16,,
300,2.14077980894600E-16,,
250,2.30297911764700E-16,,
200,3.58243236642400E-16,,
150,4.72189146081500E-16,,
100,3.66557407262400E-16,,
50,3.21509640632800E-16,,
10,1.54506943046300E-15,,
5,2.53186182148000E-15,,
2,6.54802004172000E-15,,
