0.005 2.5118864e-06 15000 14876 13500 13500 3760 2321
0.005 2.5118864e-07 15000 14859 13523 13523 3634 2290
0.005 2.5118864e-08 15000 14875 13537 13537 3789 2334
0.005 2.5118864e-09 15000 14867 13526 13526 3724 2332
0.005 3.1622777e-05 15000 14877 13440 13440 3662 2278
0.005 3.1622777e-06 15000 14874 13469 13469 3682 2280
0.005 3.1622777e-07 15000 14876 13515 13515 3692 2245
0.005 3.1622777e-08 15000 14879 13502 13502 3772 2384
0.005 3.1622777e-09 15000 14854 13480 13480 3685 2337
0.005 3.9810717e-05 15000 14880 13514 13514 3706 2380
0.005 3.9810717e-06 15000 14885 13520 13520 3706 2335
0.005 3.9810717e-07 15000 14874 13461 13461 3688 2338
0.005 3.9810717e-08 15000 14861 13507 13507 3645 2280
0.005 3.9810717e-09 15000 14861 13501 13501 3780 2360
0.005 5.0118723e-05 15000 14875 13518 13518 3718 2346
0.005 5.0118723e-06 15000 14860 13453 13453 3731 2332
0.005 5.0118723e-07 15000 14865 13511 13511 3642 2349
0.005 5.0118723e-08 15000 14872 13461 13461 3677 2342
0.005 5.0118723e-09 15000 14890 13459 13459 3724 2368
0.005 6.3095734e-05 15000 14861 13446 13446 3679 2398
0.005 6.3095734e-06 15000 14852 13440 13440 3612 2319
0.005 6.3095734e-07 15000 14861 13517 13517 3766 2430
0.005 6.3095734e-08 15000 14862 13510 13510 3726 2371
0.005 6.3095734e-09 15000 14875 13491 13491 3663 2268
0.005 7.9432823e-05 15000 14866 13472 13472 3679 2321
0.005 7.9432823e-06 15000 14870 13477 13477 3674 2309
0.005 7.9432823e-07 10000 9898 8988 8988 2447 1497
0.005 7.9432823e-08 15000 14886 13534 13534 3762 2316
0.005 7.9432823e-09 15000 14889 13546 13546 3743 2386
0.01 0.00012589254 15000 14853 13367 13367 3643 2286
0.01 0.00015848932 15000 14863 13376 13376 3616 2274
0.01 0.00019952623 15000 14857 13330 13330 3684 2342
0.01 0.0001 15000 14864 13339 13339 3632 2307
0.01 0.00025118864 15000 14884 13382 13382 3786 2401
0.01 0.00031622777 15000 14876 13254 13254 3662 2291
0.01 0.001 15000 14861 13320 13320 3583 2197
0.01 0.0031622777 15000 14869 13323 13323 3636 2321
0.01 0.01 15000 14855 13358 13358 3694 2313
0.01 0.031622777 15000 14863 13255 13255 3635 2251
0.01 0.1 15000 14867 13381 13381 3685 2288
0.01 1.2589254e-05 15000 14867 13311 13311 3683 2306
0.01 1.2589254e-06 15000 14858 13289 13289 3552 2189
0.01 1.2589254e-07 15000 14878 13375 13375 3684 2332
0.01 1.2589254e-08 15000 14872 13333 13333 3657 2320
0.01 1.2589254e-09 15000 14864 13338 13338 3628 2241
0.01 1.5848932e-05 15000 14856 13285 13285 3702 2282
0.01 1.5848932e-06 15000 14862 13325 13325 3735 2337
0.01 1.5848932e-07 15000 14864 13308 13308 3668 2333
0.01 1.5848932e-08 15000 14866 13352 13352 3761 2382
0.01 1.5848932e-09 15000 14860 13328 13328 3631 2250
0.01 1.9952623e-05 15000 14877 13421 13421 3723 2325
0.01 1.9952623e-06 15000 14873 13318 13318 3693 2312
0.01 1.9952623e-07 15000 14861 13332 13332 3690 2242
0.01 1.9952623e-08 15000 14870 13388 13388 3600 2348
0.01 1.9952623e-09 15000 14871 13366 13366 3597 2311
0.01 1e-05 15000 14872 13297 13297 3657 2312
0.01 1e-06 15000 14873 13321 13321 3741 2337
0.01 1e-07 15000 14856 13351 13351 3630 2269
0.01 1e-08 15000 14871 13360 13360 3741 2308
0.01 1e-09 15000 14874 13286 13286 3673 2351
0.01 2.5118864e-05 15000 14856 13300 13300 3565 2297
0.01 2.5118864e-06 15000 14855 13370 13370 3640 2299
0.01 2.5118864e-07 15000 14860 13392 13392 3714 2425
0.01 2.5118864e-08 15000 14854 13306 13306 3691 2302
0.01 2.5118864e-09 15000 14877 13333 13333 3716 2398
0.01 3.1622777e-05 15000 14865 13343 13343 3633 2291
0.01 3.1622777e-06 15000 14868 13339 13339 3672 2330
0.01 3.1622777e-07 15000 14851 13320 13320 3710 2385
0.01 3.1622777e-08 15000 14884 13288 13288 3642 2364
0.01 3.1622777e-09 15000 14890 13325 13325 3722 2345
0.01 3.9810717e-05 15000 14878 13423 13423 3726 2352
0.01 3.9810717e-06 15000 14840 13274 13274 3670 2301
0.01 3.9810717e-07 15000 14870 13338 13338 3795 2403
0.01 3.9810717e-08 15000 14878 13282 13282 3638 2277
0.01 3.9810717e-09 15000 14857 13304 13304 3634 2316
0.01 5.0118723e-05 15000 14868 13339 13339 3735 2276
0.01 5.0118723e-06 15000 14854 13337 13337 3664 2311
0.01 5.0118723e-07 15000 14851 13288 13288 3673 2330
0.01 5.0118723e-08 15000 14868 13335 13335 3654 2303
0.01 5.0118723e-09 15000 14867 13382 13382 3743 2339
0.01 6.3095734e-05 15000 14855 13386 13386 3622 2239
0.01 6.3095734e-06 10000 9920 8959 8959 2508 1589
0.01 6.3095734e-07 15000 14879 13407 13407 3660 2273
0.01 6.3095734e-08 15000 14873 13340 13340 3711 2343
0.01 6.3095734e-09 15000 14853 13342 13342 3700 2353
0.01 7.9432823e-05 15000 14877 13340 13340 3684 2310
0.01 7.9432823e-06 15000 14887 13353 13353 3640 2276
0.01 7.9432823e-07 15000 14849 13315 13315 3672 2319
0.01 7.9432823e-08 15000 14870 13316 13316 3569 2246
0.01 7.9432823e-09 15000 14851 13359 13359 3655 2283
0.05 0.00012589254 15000 14874 13348 13348 3700 2318
0.05 0.00015848932 15000 14869 13378 13378 3600 2251
0.05 0.00019952623 15000 14873 13306 13306 3594 2282
0.05 0.0001 15000 14868 13342 13342 3730 2377
0.05 0.00025118864 15000 14856 13300 13300 3688 2336
0.05 0.00031622777 15000 14876 13442 13442 3658 2299
0.05 0.001 15000 14884 13327 13327 3558 2278
0.05 0.0031622777 15000 14859 13368 13368 3796 2418
0.05 0.01 15000 14877 13381 13381 3691 2283
0.05 0.031622777 15000 14867 13283 13283 3552 2244
0.05 0.1 15000 14889 13331 13331 3667 2324
0.05 1.2589254e-05 15000 14877 13399 13399 3607 2262
0.05 1.2589254e-06 15000 14865 13379 13379 3702 2345
0.05 1.2589254e-07 15000 14869 13282 13282 3671 2286
0.05 1.2589254e-08 15000 14871 13333 13333 3646 2313
0.05 1.2589254e-09 15000 14874 13380 13380 3596 2216
0.05 1.5848932e-05 15000 14873 13363 13363 3588 2226
0.05 1.5848932e-06 15000 14883 13304 13304 3661 2310
0.05 1.5848932e-07 15000 14865 13323 13323 3625 2240
0.05 1.5848932e-08 15000 14870 13388 13388 3643 2246
0.05 1.5848932e-09 15000 14872 13349 13349 3656 2287
0.05 1.9952623e-05 15000 14875 13364 13364 3679 2264
0.05 1.9952623e-06 15000 14872 13375 13375 3652 2293
0.05 1.9952623e-07 15000 14859 13355 13355 3656 2273
0.05 1.9952623e-08 15000 14871 13279 13279 3590 2298
0.05 1.9952623e-09 15000 14864 13346 13346 3653 2309
0.05 1e-05 15000 14868 13382 13382 3691 2366
0.05 1e-06 10000 9902 8905 8905 2481 1587
0.05 1e-07 15000 14877 13332 13332 3705 2331
0.05 1e-08 15000 14871 13379 13379 3661 2287
0.05 1e-09 15000 14877 13330 13330 3643 2287
0.05 2.5118864e-05 15000 14871 13356 13356 3609 2301
0.05 2.5118864e-06 15000 14880 13408 13408 3690 2343
0.05 2.5118864e-07 15000 14860 13303 13303 3579 2242
0.05 2.5118864e-08 15000 14872 13381 13381 3685 2332
0.05 2.5118864e-09 15000 14868 13376 13376 3658 2317
0.05 3.1622777e-05 15000 14867 13374 13374 3658 2316
0.05 3.1622777e-06 15000 14871 13317 13317 3701 2305
0.05 3.1622777e-07 15000 14881 13330 13330 3675 2313
0.05 3.1622777e-08 15000 14851 13314 13314 3682 2321
