200,1.594230083092000E-05
300,7.155928622422000E-06
400,5.043627453343000E-06
500,3.571321925028000E-06
600,2.519329662120000E-06
700,1.466320816362000E-06
800,1.084673425320000E-06
900,1.497393694538000E-06
1000,1.361676680556000E-06
1100,1.282363062495000E-06
1200,1.097599751406000E-06
1300,9.170478563136000E-07
1400,7.607570750624000E-07
1500,6.143799015350000E-07
1600,5.283333189368000E-07
1700,4.517945627755000E-07
1800,4.102532214795000E-07
1900,3.744656623116000E-07
2000,3.213083411774000E-07
2100,1.705234065608000E-07
2200,1.535433458330000E-07
2200,1.331959439478000E-07
2100,9.723217485358000E-08
2000,8.096997403331000E-08
1900,7.113216054224000E-08
1800,6.042156918830000E-08
1700,5.299049787870000E-08
1600,4.698086406565000E-08
1500,4.171420777555000E-08
1400,3.876814311310000E-08
1300,3.432385036540000E-08
1200,3.061737828199000E-08
1100,2.658318416345000E-08
1000,2.169301916814000E-08
900,1.752201307215000E-08
800,1.327305823967000E-08
700,1.452907614991000E-08
600,1.861975662034000E-08
500,2.137341901679000E-08
400,2.425878246079000E-08
300,2.917547933738000E-08
200,4.320330787669000E-08
