2,  0.001457602149246, 7.422353651299e-05
2,  3.68913883898e-07, 1.072167772476e-05
5,  0.0005857563427921, 4.005979005406e-05
5,  2.38775630216e-07, 1.099191893106e-05
10,  0.001025762929847, 1.339676921752e-05
10,  1.702962167841e-07, 4.740084871724e-06
50,  6.782175130279e-05, 3.721564425208e-05
50,  7.551026597221e-08, 8.402591082479e-06
100,  3.268451161883e-05, 8.395445014253e-05
100,  5.372061798354e-08, 2.771723728756e-06
150,  2.100491846151e-05, 7.611336191049e-05
150,  4.371334092153e-08, 3.005244608723e-07
200,  1.554998591557e-05, 3.007851676928e-05
200,  3.792861637027e-08, 5.472324231981e-06
250,  9.288658580845e-06, 1.1251414191e-05
250,  3.000468004319e-08, 6.498203442007e-08
300,  7.2530053866e-06, 2.082979786078e-05
300,  2.692340597952e-08, 5.023438611307e-06
350,  5.928802726782e-06, 4.883059804772e-05
350,  2.498043518714e-08, 8.73515315547e-06
400,  5.045090951687e-06, 2.555901230616e-05
400,  2.303069267103e-08, 5.277226272415e-06
450,  4.250773847915e-06, 7.744251470099e-05
450,  2.167489488549e-08, 3.041874547804e-06
500,  3.620762177567e-06, 3.218301647134e-05
500,  2.044612445476e-08, 7.173890285372e-06
550,  3.165228008051e-06, 1.953505299612e-05
550,  1.928212970938e-08, 7.000842617177e-06
600,  2.619057299592e-06, 2.808420194178e-05
600,  1.785899435514e-08, 3.244809775538e-06
650,  2.038313589774e-06, 6.131752663929e-05
650,  1.625384073662e-08, 5.524016441161e-06
700,  1.454206227042e-06, 5.060241978061e-05
700,  1.435899353606e-08, 9.398011325601e-06
750,  1.06758877791e-06, 5.290254572632e-06
750,  1.286832438285e-08, 1.53917945056e-07
800,  1.12267486615e-06, 6.787302931555e-05
800,  1.312290545708e-08, 3.784402751617e-06
810,  1.153551531206e-06, 2.049065961529e-05
810,  1.323408744674e-08, 8.940390043399e-06
820,  1.212213175416e-06, 6.187228267596e-05
820,  1.360526483462e-08, 9.050750075179e-06
830,  1.24156082264e-06, 2.336604548647e-05
830,  1.353704897102e-08, 7.862749990206e-06
840,  1.318948991069e-06, 2.566242240931e-07
840,  1.4109252315e-08, 8.417088524837e-06
850,  1.376584895588e-06, 3.522654542909e-05
850,  1.44761141821e-08, 5.398630964493e-08
860,  1.351683461427e-06, 2.994955525581e-05
860,  1.464916936204e-08, 9.506389247793e-06
870,  1.446601796163e-06, 4.403816828091e-06
870,  1.552737350797e-08, 9.334291092511e-06
880,  1.459802153547e-06, 5.754525526136e-05
880,  1.602617939983e-08, 4.985163916782e-06
890,  1.506156151851e-06, 7.921441365077e-07
890,  1.647995418481e-08, 3.384156349373e-06
900,  1.497397142418e-06, 3.373236378401e-05
900,  1.696270073117e-08, 4.618491070474e-06
950,  1.523175690973e-06, 4.792382564567e-06
950,  1.936154455845e-08, 7.187290228305e-06
1000,  1.377203126625e-06, 1.835278171169e-05
1000,  2.113795650842e-08, 8.723315157777e-06
1100,  1.2993914357e-06, 4.088861022211e-05
1100,  2.548032716504e-08, 9.272217700751e-06
1200,  1.120740329062e-06, 1.592934228256e-05
1200,  2.879061884518e-08, 8.284578838058e-06
1300,  9.492290045317e-07, 1.651614192477e-05
1300,  3.297175013244e-08, 5.646161237216e-06
1400,  7.511574864132e-07, 1.555749370219e-06
1400,  3.597244854103e-08, 2.269389938192e-07
1500,  6.234663234211e-07, 1.247071081378e-05
1500,  3.979605294656e-08, 8.748445038176e-06
1600,  5.338447793911e-07, 1.446490356605e-05
1600,  4.462435994467e-08, 8.248967870994e-06
1700,  4.554649901103e-07, 1.925527633606e-05
1700,  5.039483179764e-08, 2.997949040129e-07
1800,  4.181113913825e-07, 1.469049629499e-05
1800,  5.701537695635e-08, 5.80979256215e-06
1900,  3.9804484149e-07, 7.368901815852e-06
1900,  6.567377791488e-08, 2.285857191087e-06
2000,  3.315408144433e-07, 6.214688246242e-06
2000,  7.373556289698e-08, 2.395684535195e-07
2100,  2.739920741268e-07, 8.583229085257e-06
2100,  8.674630802059e-08, 5.630595927286e-06
2200,  2.199110235883e-07, 2.542183584531e-06
2200,  1.080754369336e-07, 3.906625627437e-06
