0.3 1e-06 0 0	0.47323601
0.3 1e-07 0 0	0.39742273
0.3 1e-08 0 0	0.36658945
0.3 2e-05 0 0	6.6577792e-55
0.3 2e-08 0 0	0.3714911
0.3 5e-06 0 0	0.97541326
0.3 5e-07 0 0	0.40015192
0.3 5e-08 0 0	0.37275333
0.3 5e-09 0 0	0.29986875
0.3 8e-06 0 0	0.016329224
0.3 8e-09 0 0	0.49341854
0.4 1.5e-08 0.23263657 0.23263397	0.38765323
0.4 1e-06 469446.13 454952.47	0.41885666
0.4 1e-07 497.53708 497.3435	0.40100591
0.4 1.5e-08 0.10859967 0.2442468	0.39538199
0.4 1e-08 0.048266519 0.048266394	0.39538032
0.4 2.5e-08 0.30166575 1.8822635	0.39540179
0.4 2e-08 0.19306608 0.77151648	0.39539015
0.4 3.5e-08 0.59126486 7.216842	0.39542097
0.4 3e-08 0.43439868 3.8996665	0.3954148
0.4 4.5e-08 0.97739702 19.669106	0.39542753
0.4 4e-08 0.77226431 12.296414	0.39543809
0.4 5e-08 1.206663 29.937584	0.39545834
0.4 2.5e-08 1.9043752 1.9043237	0.39898971
0.4 2e-06 245998.69 230549.99	0.44708249
0.4 2e-08 0.79235055 0.79231935	0.40025761
0.4 3e-06 24133.773 24287.261	0.47016213
0.4 3e-08 3.7146115 3.7144644	0.39146678
0.4 1e-05 29.39583 7.6405607e-17	0.71885754
0.4 5.5e-06 8.8922385 0.45731222	0.43073619
0.4 5e-06 7.3489574 7.8594415	0.47729969
0.4 6.5e-06 12.419738 0.001498666	0.55270845
0.4 6e-06 10.582499 0.024536762	0.34721593
0.4 7.5e-06 16.535154 5.3006008e-07	0.16688186
0.4 7e-06 14.403957 2.9827361e-05	0.24991414
0.4 8.5e-06 21.238487 9.4584896e-11	0.38454926
0.4 8e-06 18.813331 8.8251264e-10	0.55419806
0.4 9.5e-06 26.529736 6.9229076e-14	0.50207673
0.4 9e-06 23.810622 1.0530255e-11	0.81251295
0.4 5e-07 152560.54 149402.05	0.4039627
0.4 1.5e-08 2.7255103 0.24704621	0.40152084
0.4 1e-08 1.2113379 0.048818402	0.40151867
0.4 2.5e-08 7.5708618 1.9038778	0.40153482
0.4 2e-08 4.8453516 0.78036989	0.40152944
0.4 3.5e-08 14.838889 7.3000787	0.40154066
0.4 3e-08 10.902041 3.9443883	0.4015369
0.4 4.5e-08 24.529592 19.898144	0.40156879
0.4 4e-08 19.381406 12.437975	0.40156201
0.4 5e-08 30.283447 30.28144	0.4015418
0.4 8e-06 7.2283122e-09 3.8359731e-08	0.72628096
0.5 1.5e-08 0.43710809 0.43709681	0.38082301
0.5 1e-06 275253.24 249954.8	0.41730291
0.5 1e-08 0.084610571 0.084609397	0.38414455
0.5 2.5e-08 3.2763607 3.2762795	0.38215585
0.5 2e-06 31806.631 30019.795	0.43395335
0.5 2e-08 1.3713564 1.3713075	0.38999224
0.5 3e-06 408.73505 359.99139	0.49721891
0.5 3e-08 6.8973902 6.8962395	0.38500264
0.5 5e-06 0.00015798859 0.0004014044	0.43769955
0.5 5e-08 58.03222 58.047058	0.39946325
0.6 1.5e-08 0.77839376 0.77838912	0.37455517
0.6 1.5e-06 210378.9 13009.793	0.4419809
0.6 1e-06 93501.735 93186.901	0.44925048
0.6 2.5e-06 584385.85 19.681571	0.50071437
0.6 2e-06 374006.94 793.61292	0.49610883
0.6 3.5e-06 1145396.3 0.00046783938	0.40253933
0.6 3e-06 841515.62 0.11878545	0.44509887
0.6 4.5e-06 1893410.1 8.0328974e-10	0.26847819
0.6 4e-06 1496027.8 1.2835203e-06	0.38975654
0.6 5e-06 2337543.4 3.5643172e-14	0.53851358
0.6 1e-07 1484.3728 1483.4343	0.37795001
0.6 1.5e-08 0.3442343 0.77348863	0.36135925
0.6 1e-08 0.15299302 0.15299012	0.36133898
0.6 2.5e-08 0.95620639 5.9429993	0.36145176
