2,1.488164704644000E-03,,
5,6.056183142385000E-04,,
10,6.097937937959000E-04,,
50,6.952099832888000E-05,,
100,3.355382228529000E-05,,
150,2.166571370521000E-05,,
200,1.607207683664000E-05,,
250,9.651526334499000E-06,,
300,7.523553264615000E-06,,
350,6.157820144102000E-06,,
400,5.203277641289000E-06,,
450,4.404848744273000E-06,,
500,3.769979598516000E-06,,
550,3.252894663375000E-06,,
600,2.710129228141000E-06,,
650,2.117536963172000E-06,,
700,1.523551012061000E-06,,
750,1.119858111283000E-06,,
800,1.163386446652000E-06,,
810,1.201163149486000E-06,,
820,1.265651097320000E-06,,
830,1.302599778534000E-06,,
840,1.368292668634000E-06,,
850,1.440562150878000E-06,,
860,1.423567288524000E-06,,
870,1.508641325616000E-06,,
880,1.528913797799000E-06,,
890,1.585502751341000E-06,,
900,1.560274461354000E-06,,
950,1.583142471433000E-06,,
1000,1.437732201745000E-06,,
1100,1.365695882386000E-06,,
1200,1.197380000577000E-06,,
1300,1.014661074896000E-06,,
1400,8.083231184165000E-07,,
1500,6.706408444484000E-07,,
1600,5.888531464704000E-07,,
1700,5.094763162512000E-07,,
1800,4.634597254248000E-07,,
1900,4.505624555266000E-07,,
2000,3.909831128791000E-07,,
2100,3.353142421028000E-07,,
2200,2.964387682253000E-07,,
2300,2.656219740713000E-07,,
2400,2.163824331575000E-07,,
2500,1.668560660316000E-07,,
2500,1.248004065192000E-07,,
2400,9.119037465334000E-08,,
2300,7.842616883780000E-08,,
2200,6.600061768110000E-08,,
2100,5.895830643335000E-08,,
2000,5.339800110498000E-08,,
1900,4.890181743852000E-08,,
1800,4.235581083133000E-08,,
1700,3.712162677670000E-08,,
1600,3.338750760862000E-08,,
1500,3.016261564312000E-08,,
1400,2.759573717352000E-08,,
1300,2.494514312006000E-08,,
1200,2.217966590337000E-08,,
1100,1.924549119956000E-08,,
1000,1.598600704402000E-08,,
950,1.472902502335000E-08,,
900,1.293811479046000E-08,,
890,1.270811101313000E-08,,
880,1.215670841381000E-08,,
870,1.195429585729000E-08,,
860,1.120696459721000E-08,,
850,1.117063856263000E-08,,
840,1.069498057226000E-08,,
820,1.043462870038000E-08,,
830,1.042012670834000E-08,,
810,1.031501823357000E-08,,
800,9.930908946632000E-09,,
750,9.776445869446000E-09,,
700,1.106738454213000E-08,,
650,1.246886721441000E-08,,
600,1.369597643197000E-08,,
550,1.464680838519000E-08,,
500,1.586338994689000E-08,,
450,1.641617601567000E-08,,
400,1.760362060364000E-08,400,1.846838842473000E-08
350,1.908622327514000E-08,,
300,2.045700258298000E-08,,
250,2.274128495155000E-08,,
200,2.908378998979000E-08,,
150,3.385961377867000E-08,,
100,4.079585128863000E-08,,
50,5.809342743108000E-08,,
10,1.290265247569000E-07,,
5,1.834830708262000E-07,,
2,2.846570865098000E-07,,
